"ESP_COD_FAO"	"ESP_LIB_FAO_FRANCAIS"
"JUM"	"Urotrygon microphthalmum"
"JUU"	"Urotrygon munda"
"JUN"	"Urotrygon nana"
"JUR"	"Urotrygon reticulata"
"JUO"	"Urotrygon rogersi"
"JUS"	"Urotrygon simulatrix"
"RAM"	"Anacanthobatis americanus"
"RAO"	"Anacanthobatis borneensis"
"RAU"	"Anacanthobatis marmoratus"
"RAN"	"Anacanthobatis melanosoma"
"RAH"	"Anacanthobatis ori"
"RPD"	"Plesiobatis daviesi"
"TTB"	"Torpedo bauchotae"
"TTC"	"Torpedo californica"
"TTF"	"Torpedo fairchildi"
"TTU"	"Raie trembleur"
"TTN"	"Torpedo mackayana"
"TTI"	"Torpedo macneilli"
"TTR"	"Torpille marbrée"
"TTO"	"Torpille noire"
"TTT"	"Torpedo panthera"
"TTD"	"Torpedo peruana"
"TTJ"	"Torpille auréolée"
"TTQ"	"Torpedo tokionis"
"TTV"	"Torpille ocellée"
"TTW"	"Torpedo tremens"
"TZP"	"Torpedo puelcha"
"TTP"	"Hypnos monopterygium"
"TNB"	"Benthobatis marcida"
"TNC"	"Crassinarke dormitor"
"TND"	"Diplobatis ommata"
"TNP"	"Diplobatis pictus"
"TNY"	"Discopyge tschudii"
"TNH"	"Heteronarce garmani"
"TNM"	"Heteronarce mollis"
"TNA"	"Raie électrique brésilienne"
"TNR"	"Narcine brevilabiata"
"TNU"	"Narcine brunnea"
"TNE"	"Narcine entemedor"
"TNI"	"Narcine indica"
"TNL"	"Narcine lingula"
"TNO"	"Narcine prodorsalis"
"TNN"	"Narcine rierai"
"TNT"	"Narcine tasmaniensis"
"TNQ"	"Narcine timlei"
"TNV"	"Narcine vermiculatus"
"TNW"	"Narcine westraliensis"
"TNK"	"Narke capensis"
"TNG"	"Narke dipterygia"
"TNJ"	"Narke japonica"
"NTH"	"Temera hardwickii"
"NTY"	"Typhlonarke aysoni"
"NTT"	"Typhlonarke tarakea"
"CMO"	"Chimère commune"
"CMH"	"Chimaera phantasma"
"CMS"	"Chimaera jordani"
"CMW"	"Chimaera owstoni"
"CMU"	"Chimaera cubana"
"RAT"	"Chimère d'Amérique"
"CYA"	"Chimère à petits yeux"
"CYF"	"Hydrolagus africanus"
"CYL"	"Hydrolagus alberti"
"CYB"	"Hydrolagus barbouri"
"CYD"	"Hydrolagus deani"
"CYI"	"Hydrolagus eidolon"
"CYS"	"Hydrolagus lemures"
"CYH"	"Chimère à gros yeux"
"CYX"	"Hydrolagus mitsukurii"
"SHP"	"Sarcocheilichthys nigripinnis"
"TPW"	"Typhlogarra widdowsoni"
"TYA"	"Tanichthys albonubes"
"MPL"	"Campostoma anomalum"
"MPG"	"Campostoma oligolepis"
"AUH"	"Aulopyge huegelii"
"OHM"	"Orthodon microlepidotus"
"LVE"	"Lavinia exilicauda"
"PLT"	"Plagopterus argentissimus"
"IOP"	"Iotichthys phlegethontis"
"PHK"	"Phenacobius catostomus"
"EVU"	"Evarra bustamantei"
"ASU"	"Aspe"
"NOU"	"Clinostomus elongatus"
"BNB"	"Balantiocheilos melanopterus"
"MOI"	"Moroco steindachneri"
"MDE"	"Mandibularca resinus"
"NUC"	"Chalcalburnus chalcoides"
"AWT"	"Chalcalburnus tarichi"
"AHA"	"Acanthorhodeus asmussii"
"PDP"	"Pseudorasbora parva"
"BNE"	"Bangana behri"
"BRN"	"Barbichthys nitidus"
"BBR"	"Barbodes balleroides"
"BBT"	"Barbodes platysoma"
"FCH"	"Barbus d'Hoven"
"ARC"	"Acrocheilus alutaceus"
"HMU"	"Hemiculter leucisculus"
"BBC"	"Barboides gracilis"
"BBV"	"Barbopsis devecchii"
"TKT"	"Tanakia tanago"
"BWZ"	"Biwia zezera"
"PDL"	"Pseudaspius leptocephalus"
"BOI"	"Boraras brigittae"
"CUG"	"Caecobarbus geertsii"
"YCB"	"Caecocypris basimi"
"BKC"	"Carpe noire"
"OEC"	"Capoeta capoeta"
"OED"	"Capoeta damascina"
"LXC"	"Luxilus chrysocephalus"
"LXO"	"Luxilus cornutus"
"OGC"	"Oregonichthys crameri"
"GNA"	"Gnathopogon caerulescens"
"GNE"	"Gnathopogon elongatus"
"WUB"	"Carpe de Wuchang"
"MHC"	"Mylocheilus caurinus"
"LPV"	"Lepidomeda vittata"
"DIL"	"Diptychus maculatus"
"PTO"	"Ptychobarbus conirostris"
"SZP"	"Schizopygopsis pylzovi"
"TGC"	"Tiaroga cobitis"
"PUI"	"Puntius binotatus"
"PUH"	"Puntius amphibius"
"PUU"	"Puntius arulius"
"PUO"	"Puntius conchonius"
"PUM"	"Puntius filamentosus"
"PUD"	"Puntius orphoides"
"PUS"	"Systomus sarana"
"PUR"	"Puntius sophore"
"PUT"	"Puntius tetrazona"
"PUW"	"Puntius ticto"
"FZP"	"Puntius lateristriga"
"OEK"	"Capoetobrama kuschakewitschi"
"OEN"	"Carassioides cantonensis"
"PHH"	"Cephalakompsus pachycheilus"
"HYA"	"Chanodichthys dabryi"
"PTL"	"Coptostomabarbus bellcrossi"
"UCS"	"Coreoleuciscus splendidus"
